date,county,state,fips,cases,deaths
2020-04-03,Lenawee,Michigan,26091,24,0
2020-04-03,Livingston,Michigan,26093,121,2
2020-04-03,Luce,Michigan,26095,1,0
2020-04-03,Mackinac,Michigan,26097,2,0
2020-04-03,Macomb,Michigan,26099,1560,65
2020-04-03,Manistee,Michigan,26101,1,0
2020-04-03,Marquette,Michigan,26103,7,0
2020-04-03,Mecosta,Michigan,26107,4,1
2020-04-03,Midland,Michigan,26111,16,0
2020-04-03,Missaukee,Michigan,26113,1,1
2020-04-03,Monroe,Michigan,26115,95,0
2020-04-03,Montcalm,Michigan,26117,12,0
2020-04-03,Muskegon,Michigan,26121,30,2
2020-04-03,Newaygo,Michigan,26123,2,0
2020-04-03,Oakland,Michigan,26125,2540,136
2020-04-03,Oceana,Michigan,26127,3,0
2020-04-03,Ogemaw,Michigan,26129,2,0
2020-04-03,Osceola,Michigan,26133,3,0
2020-04-03,Oscoda,Michigan,26135,2,0
2020-04-03,Otsego,Michigan,26137,20,0
2020-04-03,Ottawa,Michigan,26139,37,0
2020-04-03,Roscommon,Michigan,26143,2,0
2020-04-03,Saginaw,Michigan,26145,90,0
2020-04-03,Sanilac,Michigan,26151,10,1
2020-04-03,Shiawassee,Michigan,26155,18,0
2020-04-03,St. Clair,Michigan,26147,66,0
2020-04-03,St. Joseph,Michigan,26149,10,0
2020-04-03,Tuscola,Michigan,26157,15,2
2020-04-03,Unknown,Michigan,,215,1
2020-04-03,Van Buren,Michigan,26159,12,1
2020-04-03,Washtenaw,Michigan,26161,477,8
2020-04-03,Wayne,Michigan,26163,6096,223
2020-04-03,Wexford,Michigan,26165,4,0
2020-04-03,Anoka,Minnesota,27003,34,0
2020-04-03,Beltrami,Minnesota,27007,4,0
2020-04-03,Benton,Minnesota,27009,1,0
2020-04-03,Big Stone,Minnesota,27011,1,0
2020-04-03,Blue Earth,Minnesota,27013,10,0
2020-04-03,Brown,Minnesota,27015,2,0
2020-04-03,Carlton,Minnesota,27017,5,0
2020-04-03,Carver,Minnesota,27019,11,0
2020-04-03,Cass,Minnesota,27021,1,0
2020-04-03,Chisago,Minnesota,27025,4,1
2020-04-03,Clay,Minnesota,27027,8,0
2020-04-03,Clearwater,Minnesota,27029,2,0
2020-04-03,Cottonwood,Minnesota,27033,5,0
2020-04-03,Crow Wing,Minnesota,27035,3,0
2020-04-03,Dakota,Minnesota,27037,54,1
2020-04-03,Dodge,Minnesota,27039,10,0
2020-04-03,Douglas,Minnesota,27041,1,0
2020-04-03,Faribault,Minnesota,27043,3,0
2020-04-03,Fillmore,Minnesota,27045,9,0
2020-04-03,Freeborn,Minnesota,27047,7,0
2020-04-03,Goodhue,Minnesota,27049,5,0
2020-04-03,Hennepin,Minnesota,27053,242,9
2020-04-03,Isanti,Minnesota,27059,2,0
2020-04-03,Itasca,Minnesota,27061,2,0
2020-04-03,Jackson,Minnesota,27063,1,0
2020-04-03,Kandiyohi,Minnesota,27067,2,0
2020-04-03,Koochiching,Minnesota,27071,1,0
2020-04-03,Lac qui Parle,Minnesota,27073,1,0
2020-04-03,Le Sueur,Minnesota,27079,19,0
2020-04-03,Lincoln,Minnesota,27081,1,0
2020-04-03,Lyon,Minnesota,27083,3,0
2020-04-03,Mahnomen,Minnesota,27087,1,0
2020-04-03,Martin,Minnesota,27091,32,2
2020-04-03,Meeker,Minnesota,27093,1,0
2020-04-03,Mower,Minnesota,27099,15,0
2020-04-03,Nicollet,Minnesota,27103,3,0
2020-04-03,Olmsted,Minnesota,27109,76,2
2020-04-03,Otter Tail,Minnesota,27111,1,0
2020-04-03,Ramsey,Minnesota,27123,71,2
2020-04-03,Renville,Minnesota,27129,2,0
2020-04-03,Rice,Minnesota,27131,3,0
2020-04-03,Scott,Minnesota,27139,11,1
2020-04-03,Sherburne,Minnesota,27141,8,0
2020-04-03,Sibley,Minnesota,27143,1,0
